Date,Subs,,,,
11/05/2012,586765,,,, 
11/06/2012,588248,,,, 
11/07/2012,589671,,,, 
11/08/2012,591128,,,, 
11/09/2012,592635,,,, 
11/10/2012,594550,,,, 
11/11/2012,596795,,,, 
11/12/2012,598789,,,, 
11/13/2012,600815,,,, 
11/14/2012,603566,,,, 
11/15/2012,605759,,,, 
11/16/2012,608097,,,, 
11/17/2012,610006,,,, 
11/18/2012,611907,,,, 
11/19/2012,613460,,,, 
11/20/2012,615093,,,, 
11/21/2012,616752,,,, 
11/22/2012,618548,,,, 
11/23/2012,620405,,,, 
11/24/2012,622225,,,, 
11/25/2012,623659,,,, 
11/26/2012,625017,,,, 
11/27/2012,626380,,,, 
11/28/2012,627976,,,, 
11/29/2012,629492,,,, 
11/30/2012,631288,,,, 
12/01/2012,633031,,,, 
12/02/2012,634745,,,, 
12/03/2012,636220,,,, 
12/04/2012,637670,,,, 
12/05/2012,639096,,,, 
12/06/2012,640963,,,, 
12/07/2012,644925,,,, 
12/08/2012,648748,,,, 
12/09/2012,652252,,,, 
12/10/2012,655864,,,, 
12/11/2012,661005,,,, 
12/12/2012,665570,,,, 
12/13/2012,670262,,,, 
12/14/2012,675084,,,, 
12/15/2012,680012,,,, 
12/16/2012,684694,,,, 
12/17/2012,689182,,,, 
12/18/2012,693857,,,, 
12/19/2012,699304,,,, 
12/20/2012,706105,,,, 
12/21/2012,712640,,,, 
12/22/2012,719115,,,, 
12/23/2012,724784,,,, 
12/24/2012,730481,,,, 
12/25/2012,736281,,,, 
12/26/2012,742248,,,, 
12/27/2012,746975,,,, 
12/28/2012,751797,,,, 
12/29/2012,757258,,,, 
12/30/2012,761975,,,, 
12/31/2012,766506,,,, 
01/01/2013,772189,,,, 
01/02/2013,776698,,,, 
01/03/2013,781174,,,, 
01/04/2013,788087,,,, 
01/05/2013,793971,,,, 
01/06/2013,798342,,,, 
01/07/2013,802719,,,, 
01/08/2013,808346,,,, 
01/09/2013,813097,,,, 
01/10/2013,818724,,,, 
01/11/2013,826903,,,, 
01/12/2013,836179,,,, 
01/13/2013,844485,,,, 
01/14/2013,851712,,,, 
01/15/2013,858959,,,, 
01/16/2013,865769,,,, 
01/17/2013,872200,,,, 
01/18/2013,879537,,,, 
01/19/2013,887395,,,, 
01/20/2013,894722,,,, 
01/21/2013,901862,,,, 
01/22/2013,908509,,,, 
01/23/2013,915745,,,, 
01/24/2013,922259,,,, 
01/25/2013,928732,,,, 
01/26/2013,935610,,,, 
01/27/2013,941624,,,, 
01/28/2013,947495,,,, 
01/29/2013,953752,,,, 
01/30/2013,959887,,,, 
01/31/2013,966462,,,, 
02/01/2013,972962,,,, 
02/02/2013,980224,,,, 
02/03/2013,986581,,,, 
02/04/2013,993131,,,, 
02/05/2013,999614,,,, 
02/06/2013,1008164,,,, 
02/07/2013,1029219,,,, 
02/08/2013,1042546,,,, 
02/09/2013,1056048,,,, 
02/10/2013,1067522,,,, 
02/11/2013,1079391,,,, 
02/12/2013,1090266,,,, 
02/13/2013,1101114,,,, 
02/14/2013,1109047,,,, 
02/15/2013,1117721,,,, 
02/16/2013,1126792,,,, 
02/17/2013,1135147,,,, 
02/18/2013,1143316,,,, 
02/19/2013,1152095,,,, 
02/20/2013,1160816,,,, 
02/21/2013,1169208,,,, 
02/22/2013,1178632,,,, 
02/23/2013,1187274,,,, 
02/24/2013,1195639,,,, 
02/25/2013,1203247,,,, 
02/26/2013,1210669,,,, 
02/27/2013,1218364,,,, 
02/28/2013,1227466,,,, 
03/01/2013,1237780,,,, 
03/02/2013,1248566,,,, 
03/03/2013,1258230,,,, 
03/04/2013,1268001,,,, 
03/05/2013,1279353,,,, 
03/06/2013,1291052,,,, 
03/07/2013,1301993,,,, 
03/08/2013,1312743,,,, 
03/09/2013,1323533,,,, 
03/10/2013,1333998,,,, 
03/11/2013,1345618,,,, 
03/12/2013,1356838,,,, 
03/13/2013,1366889,,,, 
03/14/2013,1378162,,,, 
03/15/2013,1389716,,,, 
03/16/2013,1401774,,,, 
03/17/2013,1412750,,,, 
03/18/2013,1423957,,,, 
03/19/2013,1436339,,,, 
03/20/2013,1447004,,,, 
03/21/2013,1458718,,,, 
03/22/2013,1469138,,,, 
03/23/2013,1480321,,,, 
03/24/2013,1490420,,,, 
03/25/2013,1501532,,,, 
03/26/2013,1512358,,,, 
03/27/2013,1522465,,,, 
03/28/2013,1532282,,,, 
03/29/2013,1543476,,,, 
03/30/2013,1555097,,,, 
03/31/2013,1565586,,,, 
04/01/2013,1576349,,,, 
04/02/2013,1587619,,,, 
04/03/2013,1599310,,,, 
04/04/2013,1610041,,,, 
04/05/2013,1621681,,,, 
04/06/2013,1633818,,,, 
04/07/2013,1644762,,,, 
04/08/2013,1656097,,,, 
04/09/2013,1666977,,,, 
04/10/2013,1678380,,,, 
04/11/2013,1689844,,,, 
04/12/2013,1700696,,,, 
04/13/2013,1711342,,,, 
04/14/2013,1721200,,,, 
04/15/2013,1731243,,,, 
04/16/2013,1741482,,,, 
04/17/2013,1751948,,,, 
04/18/2013,1762420,,,, 
04/19/2013,1772846,,,, 
04/20/2013,1783845,,,, 
04/21/2013,1794297,,,, 
04/22/2013,1804654,,,, 
04/23/2013,1814795,,,, 
04/24/2013,1825518,,,, 
04/25/2013,1835295,,,, 
04/26/2013,1846082,,,, 
04/27/2013,1857545,,,, 
04/28/2013,1867739,,,, 
04/29/2013,1877805,,,, 
04/30/2013,1888086,,,, 
05/01/2013,1898208,,,, 
05/02/2013,1904484,,,, 
05/03/2013,1911461,,,, 
05/04/2013,1918481,,,, 
05/05/2013,1925019,,,, 
05/06/2013,1931251,,,, 
05/07/2013,1937712,,,, 
05/08/2013,1944228,,,, 
05/09/2013,1950531,,,, 
05/10/2013,1956990,,,, 
05/11/2013,1963404,,,, 
05/12/2013,1969203,,,, 
05/13/2013,1975428,,,, 
05/14/2013,1981633,,,, 
05/15/2013,1988005,,,, 
05/16/2013,1995058,,,, 
05/17/2013,2001568,,,, 
05/18/2013,2008296,,,, 
05/19/2013,2014366,,,, 
05/20/2013,2020488,,,, 
05/21/2013,2026552,,,, 
05/22/2013,2032618,,,, 
05/23/2013,2039173,,,, 
05/24/2013,2045583,,,, 
05/25/2013,2052996,,,, 
05/26/2013,2059703,,,, 
05/27/2013,2066212,,,, 
05/28/2013,2073594,,,, 
05/29/2013,2081068,,,, 
05/30/2013,2088569,,,, 
05/31/2013,2095720,,,, 
06/01/2013,2103415,,,, 
06/02/2013,2110758,,,, 
06/03/2013,2117962,,,, 
06/04/2013,2126387,,,, 
06/05/2013,2135406,,,, 
06/06/2013,2145223,,,, 
06/07/2013,2154275,,,, 
06/08/2013,2163629,,,, 
06/09/2013,2171842,,,, 
06/10/2013,2180143,,,, 
06/11/2013,2187945,,,, 
06/12/2013,2195965,,,, 
06/13/2013,2204296,,,, 
06/14/2013,2213125,,,, 
06/15/2013,2220891,,,, 
06/16/2013,2228554,,,, 
06/17/2013,2236667,,,, 
06/18/2013,2244776,,,, 
06/19/2013,2253057,,,, 
06/20/2013,2260660,,,, 
06/21/2013,2268791,,,, 
06/22/2013,2277254,,,, 
06/23/2013,2284369,,,, 
06/24/2013,2291473,,,, 
06/25/2013,2299295,,,, 
06/26/2013,2306863,,,, 
06/27/2013,2314652,,,, 
06/28/2013,2322526,,,, 
06/29/2013,2328773,,,, 
06/30/2013,2337841,,,, 
07/01/2013,2344599,,,, 
07/02/2013,2352118,,,, 
07/03/2013,2359471,,,, 
07/04/2013,2366506,,,, 
