Date,Subs
08/15/2012,1497211
08/16/2012,1509012
08/17/2012,1521153
08/18/2012,1535326
08/19/2012,1549441
08/20/2012,1563416
08/21/2012,1576860
08/22/2012,1589136
08/23/2012,1600120
08/24/2012,1611718
08/25/2012,1625689
08/26/2012,1641005
08/27/2012,1653277
08/28/2012,1663784
08/29/2012,1674655
08/30/2012,1685144
08/31/2012,1695553
09/01/2012,1708435
09/02/2012,1733319
09/03/2012,1761319
09/04/2012,1777277
09/05/2012,1789768
09/06/2012,1803182
09/07/2012,1816188
09/08/2012,1832101
09/09/2012,1850600
09/10/2012,1863892
09/11/2012,1875674
09/12/2012,1889892
09/13/2012,1902008
09/14/2012,1914876
09/15/2012,1931965
09/16/2012,1950554
09/17/2012,1966414
09/18/2012,1979335
09/19/2012,1988513
09/20/2012,2001837
09/21/2012,2015105
09/22/2012,2030280
09/23/2012,2046223
09/24/2012,2059221
09/25/2012,2071457
09/26/2012,2083514
09/27/2012,2112311
09/28/2012,2124246
09/29/2012,2141145
09/30/2012,2157452
10/01/2012,2172242
10/02/2012,2186156
10/03/2012,2199620
10/04/2012,2212302
10/05/2012,2224749
10/06/2012,2238666
10/07/2012,2254553
10/08/2012,2266740
10/09/2012,2279011
10/10/2012,2290875
10/11/2012,2303095
10/12/2012,2315415
10/13/2012,2331139
10/14/2012,2347160
10/15/2012,2358915
10/16/2012,2370766
10/17/2012,2381327
10/18/2012,2392531
10/19/2012,2405080
10/20/2012,2421152
10/21/2012,2435270
10/22/2012,2451970
10/23/2012,2454728
10/24/2012,2466592
10/25/2012,2478020
10/26/2012,2489591
10/27/2012,2504314
10/28/2012,2523344
10/29/2012,2538752
10/30/2012,2548592
10/31/2012,2560141
11/01/2012,2573841
11/02/2012,2586887
11/03/2012,2601286
11/04/2012,2619902
11/05/2012,2632822
11/06/2012,2645552
11/07/2012,2657444
11/08/2012,2668611
11/09/2012,2680337
11/10/2012,2695742
11/11/2012,2711647
11/12/2012,2723974
11/13/2012,2733720
11/14/2012,2744241
11/15/2012,2755031
11/16/2012,2767216
11/17/2012,2782576
11/18/2012,2798785
11/19/2012,2812268
11/20/2012,2824599
11/21/2012,2839036
11/22/2012,2852335
11/23/2012,2866674
11/24/2012,2883788
11/25/2012,2900883
11/26/2012,2913922
11/27/2012,2926185
11/28/2012,2938021
11/29/2012,2948827
11/30/2012,2960186
12/01/2012,2973144
12/02/2012,2986376
12/03/2012,2997549
12/04/2012,3007983
12/05/2012,3018769
12/06/2012,3031635
12/07/2012,3048904
12/08/2012,3069111
12/09/2012,3089665
12/10/2012,3105937
12/11/2012,3122027
12/12/2012,3140604
12/13/2012,3160952
12/14/2012,3180193
12/15/2012,3204789
12/16/2012,3229273
12/17/2012,3250255
12/18/2012,3270532
12/19/2012,3292760
12/20/2012,3314490
12/21/2012,3337071
12/22/2012,3359522
12/23/2012,3381581
12/24/2012,3401640
12/25/2012,3426955
12/26/2012,3451114
12/27/2012,3477790
12/28/2012,3504006
12/29/2012,3528185
12/30/2012,3550553
12/31/2012,3572851
01/01/2013,3601177
01/02/2013,3630039
01/03/2013,3656172
01/04/2013,3684341
01/05/2013,3708962
01/06/2013,3734484
01/07/2013,3757729
01/08/2013,3779771
01/09/2013,3802309
01/10/2013,3825574
01/11/2013,3850671
01/12/2013,3882359
01/13/2013,3913555
01/14/2013,3937727
01/15/2013,3961793
01/16/2013,3987316
01/17/2013,4009576
01/18/2013,4036497
01/19/2013,4066072
01/20/2013,4096286
01/21/2013,4127773
01/22/2013,4155615
01/23/2013,4179769
01/24/2013,4203579
01/25/2013,4228329
01/26/2013,4255840
01/27/2013,4285209
01/28/2013,4306869
01/29/2013,4328188
01/30/2013,4348060
01/31/2013,4366507
02/01/2013,4385248
02/02/2013,4410990
02/03/2013,4435437
02/04/2013,4456008
02/05/2013,4475614
02/06/2013,4525059
02/07/2013,4594683
02/08/2013,4631292
02/09/2013,4673426
02/10/2013,4714179
02/11/2013,4749842
02/12/2013,4781080
02/13/2013,4809443
02/14/2013,4836839
02/15/2013,4871468
02/16/2013,4910290
02/17/2013,4953519
02/18/2013,4995527
02/19/2013,5031560
02/20/2013,5060541
02/21/2013,5090533
02/22/2013,5126634
02/23/2013,5160284
02/24/2013,5194269
02/25/2013,5221290
02/26/2013,5247603
02/27/2013,5271259
02/28/2013,5288095
03/01/2013,5306332
03/02/2013,5331557
03/03/2013,5359108
03/04/2013,5379292
03/05/2013,5400884
03/06/2013,5421193
03/07/2013,5440694
03/08/2013,5459848
03/09/2013,5486923
03/10/2013,5515405
03/11/2013,5539841
03/12/2013,5560870
03/13/2013,5585863
03/14/2013,5611010
03/15/2013,5635226
03/16/2013,5666808
03/17/2013,5698856
03/18/2013,5726302
03/19/2013,5751817
03/20/2013,5778247
03/21/2013,5804437
03/22/2013,5832000
03/23/2013,5867194
03/24/2013,5899023
03/25/2013,5925158
03/26/2013,5951822
03/27/2013,5978840
03/28/2013,6008326
03/29/2013,6044775
03/30/2013,6083570
03/31/2013,6118139
04/01/2013,6158126
04/02/2013,6193564
04/03/2013,6235325
04/04/2013,6276900
04/05/2013,6319254
04/06/2013,6360394
04/07/2013,6404575
04/08/2013,6443713
04/09/2013,6479958
04/10/2013,6516339
04/11/2013,6552896
04/12/2013,6589999
04/13/2013,6631043
04/14/2013,6675462
04/15/2013,6712742
04/16/2013,6749108
04/17/2013,6784920
04/18/2013,6819914
04/19/2013,6858318
04/20/2013,6898279
04/21/2013,6941497
04/22/2013,6977691
04/23/2013,7012232
04/24/2013,7052229
04/25/2013,7090329
04/26/2013,7129031
04/27/2013,7173258
04/28/2013,7218272
04/29/2013,7259331
04/30/2013,7291447
05/01/2013,7327926
05/02/2013,7360316
05/03/2013,7394846
05/04/2013,7426820
05/05/2013,7457565
05/06/2013,7486499
05/07/2013,7512755
05/08/2013,7540698
05/09/2013,7571964
05/10/2013,7601330
05/11/2013,7636937
05/12/2013,7671038
05/13/2013,7699596
05/14/2013,7726053
05/15/2013,7759302
05/16/2013,7787586
05/17/2013,7811337
05/18/2013,7843356
05/19/2013,7868859
05/20/2013,7891053
05/21/2013,7914113
05/22/2013,7933362
05/23/2013,7957591
05/24/2013,7983049
05/25/2013,8018696
05/26/2013,8049033
05/27/2013,8080582
05/28/2013,8121042
05/29/2013,8159361
05/30/2013,8193602
05/31/2013,8222037
06/01/2013,8259913
06/02/2013,8298908
06/03/2013,8337433
06/04/2013,8373366
06/05/2013,8412854
06/06/2013,8452609
06/07/2013,8487716
06/08/2013,8528789
06/09/2013,8568429
06/10/2013,8608719
06/11/2013,8652820
06/12/2013,8693434
06/13/2013,8735085
06/14/2013,8781758
06/15/2013,8832514
06/16/2013,8884404
06/17/2013,8934845
06/18/2013,8977818
06/19/2013,9032141
06/20/2013,9080956
06/21/2013,9138562
06/22/2013,9189989
06/23/2013,9249647
06/24/2013,9298172
06/25/2013,9356108
06/26/2013,9401400
06/27/2013,9455187
06/28/2013,9505203
06/29/2013,9551008
06/30/2013,9599578
07/01/2013,9655556
07/02/2013,9706392
07/03/2013,9749048
07/04/2013,9798181
07/05/2013,9842104
07/06/2013,9892848
07/07/2013,9947388
07/08/2013,9994245
07/09/2013,10058670
07/10/2013,10125646
07/11/2013,10181676
07/12/2013,10235814
07/13/2013,10291196
07/14/2013,10344995
07/15/2013,10404579
07/16/2013,10454949
07/17/2013,10503419
07/18/2013,10555390
07/19/2013,10607547
07/20/2013,10664272
07/21/2013,10715379
07/22/2013,10769454
07/23/2013,10812784
07/24/2013,10863053
07/25/2013,10911280
07/26/2013,10960263
07/27/2013,11012528
07/28/2013,11063657
07/29/2013,11123498
07/30/2013,11179772
07/31/2013,11230607
08/01/2013,11273459
08/02/2013,11322120
08/03/2013,11367384
08/04/2013,11414531
08/05/2013,11468146
08/06/2013,11515928
08/07/2013,11567771
08/08/2013,11610629
08/09/2013,11660582
08/10/2013,11707086
08/11/2013,11748843
08/12/2013,11788406
08/13/2013,11830688
08/14/2013,11873461
08/15/2013,11915435
08/16/2013,11961822
08/17/2013,12008408
08/18/2013,12051332
08/19/2013,12094077
08/20/2013,12138717
08/21/2013,12189973
08/22/2013,12234359
08/23/2013,12274435
08/24/2013,12314433
08/25/2013,12366370
08/26/2013,12400020
08/27/2013,12435459
08/28/2013,12473566
08/29/2013,12508575
08/30/2013,12546612
08/31/2013,12583728
09/01/2013,12629360
09/02/2013,12670149
09/03/2013,12702136
09/04/2013,12744437
09/05/2013,12786282
09/06/2013,12825989
09/07/2013,12878000
09/08/2013,12925578
09/09/2013,12968211
09/10/2013,13004389
09/11/2013,13042887
09/12/2013,13082443
09/13/2013,13127243
09/14/2013,13184146
09/15/2013,13239063
09/16/2013,13284326
09/17/2013,13323003
09/18/2013,13346357
09/19/2013,13372772
09/20/2013,13412116
09/21/2013,13473628
09/22/2013,13523468
09/23/2013,13573439
09/24/2013,13611915
09/25/2013,13648677
09/26/2013,13685982
09/27/2013,13726412
09/28/2013,13807746
09/29/2013,13858582
09/30/2013,13900593
10/01/2013,13942360
10/02/2013,13980719
10/03/2013,14022510
10/04/2013,14061312
10/05/2013,14106106
10/06/2013,14143899
10/07/2013,14178046
10/08/2013,14210689
10/09/2013,14242476
10/10/2013,14275907
10/11/2013,14311634
10/12/2013,14352346
10/13/2013,14390666
10/14/2013,14426383
